exchangeRxn	note	DiBartolomeo2020_Gluc	DiBartolomeo2020_Etoh	Lahtvee2017_REF	Lahtvee2017_EtOH20	Lahtvee2017_EtOH40	Lahtvee2017_EtOH60	Lahtvee2017_Osmo02	Lahtvee2017_Osmo04	Lahtvee2017_Osmo06	Lahtvee2017_Temp33	Lahtvee2017_Temp36	Lahtvee2017_Temp38	Yu2021_N30_005	Yu2021_std_010	Yu2021_N30_010	Yu2021_N30_013	Yu2021_N30_018	Yu2021_N30_030	Yu2021_N30_035	Yu2021_Gln_glc1	Yu2021_Gln_glc2	Yu2021_Gln_N30	Yu2021_Phe_std	Yu2021_Phe_N30	Yu2021_Ile_std	Yu2021_Ile_N30	Yu2020_Clim	Yu2020_CN30	Yu2020_CN50	Yu2020_CN115
r_2111	Growth	0.398366666666667	0.1225	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.05	0.1	0.1	0.13	0.18	0.3	0.35	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2
r_1714	Glucose	-14.3839555555556	0	-1.07092847938854	-0.33098586109744	-0.612502013142123	-1.23919303090863	-1.11945719683422	-1.10289373097857	-1.36797731358331	-1.07570749823126	-1.11071698957099	-7.75472161309578	-0.764922991929832	-1.13513492402127	-1.50339346141323	-2.07121521898328	-3.09902649322767	-8.3998517024988	-13.0876687429014	-0.794186379188057	-0.740082416676146	-1.31326037901833	-1.50678051175351	-1.67260856025719	-1.560999874864	-1.5935500052082	-2.439	-4.6245	-5.7955	-5.982
r_1808	Glycerol	0.666410217391304	-0.202562355072464	0.000857154221842742	0	0.0103828219270308	0.0225766643262643	0.00431410039818905	0.0283248589619358	0.082729509417606	0.00174142199788491	0.00304475041336303	0.743250977707668	0.0068301737126919	0	0	0.0390312748372584	0.0125792439997098	0	0	0	0.0077122054546056	0.0445499647403455	0	0	0.00349005363865667	0.0366219500700308	0	0	0.1205	0.25
r_1634	Acetate	0.444200166666667	0.0515425	0	0.0031906676031673	0	0.0187660141602168	0	0	0	0.00173732968578086	0	0.139480174084195	0	0	0.0635796725650541	0.238725223508477	0.259962513399158	0.400664991367594	0.528987621129117	0	0	0.0630467322252696	0	0	0	0.104272361092218	0.0055	0.2405	0.698	1.0435
r_1761	Ethanol	13.558834057971	-3.31711884057971	0	-2.44387472184724	-1.74864711271784	-0.66664056529417	0	0	0	0	0.00230370149872849	10.7029244145239	0	0.00558882515867094	0	0.138573929306322	1.27927807703305	7.31376068287849	11.9666055810038	0	0	0.00602442647611315	0	0	0.042979822446756	0.136591695626572	0	3.522	4.193	4.858
r_1992	O2	-1000	-1000	-2.44647298798502	-4.65007388400918	-5.03380805672743	-5.26509897414902	-2.57266240739022	-2.36463746720041	-4.08889827981797	-2.32888130981875	-2.59252276866606	-7.54526381219538	-2.08762925907096	-2.33666666666667	-3.6540464071859	-4.95630160701298	-5.56723126227141	-8.67606732587709	-12.6709709206857	-2.35080698899085	-1.5628783292541	-3.53740026232376	-5.51750999629332	-5.62930219134408	-4.67292256344547	-4.23082740269781	-6.5045	-7.103	-7.16	-4.9005
r_1672	CO2	1000	1000	2.62755452984415	2.98228289565406	2.77908598487286	3.42415554021904	2.8774168971354	2.86601683791772	4.11867992630463	2.71673799372728	2.94008581546127	15.0905276243908	2.31073095061937	1.99	3.2538828860555	5.39516441623424	6.93941485367315	15.3841197505779	21.0276400052541	2.68636743756674	2.51968800844991	4.1096344050836	5.69024312091651	5.94248885816046	4.961981267055	4.54790475495253	6.053	10.8545	10.179	9.634
r_1654	NH4	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-1000	-0.119493592838098	-2.11861314085551	-0.306642620493701	-0.425879738354791	-0.636327584103655	-1.73644075328594	-2.74675759244431	0	0	0	0	0	0	0	-500	-1000	-1000	-1000
r_1891	Gln	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.716393261831099	-4.49920753143587	-0.149733966401913	0	0	0	0	0	0	0	0
r_1903	Phe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.90290458441042	-0.332391914196068	0	0	0	0	0	0
r_1897	Ile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.06728982612649	-0.319941030713818	0	0	0	0
r_2033	Pyruvate	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0.000423488231277579	0.00013981536108695	0.0159516033788512	0.025205896320988	0.0301795726546021	0.0535026803561448	0.0952581490008755	0.00542156603049162	0.0316724376604705	0.800447231980448	0.0707644511908115	0.260772957181194	0.15739665800264	0.733195986559447	0.002	0.035	0.0615	0.083
r_2056	Succinate	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0	0	0.000963844069868254	0.000898982776121469	0.0251632907583526	0.0232384925321768	0	0	0.00370654082083947	0	0	0	0	0.0005	0.0215	0.0225	0.032
