Row	GLC_CHEM_mu=0.11_V	GLC_CHEM_mu=0.12_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.21_P	GLC_CHEM_mu=0.21_V	GLC_CHEM_mu=0.22_P	GLC_CHEM_mu=0.26_P	GAL_BATCH_mu=0.26_S	ACE_BATCH_mu=0.3_S	GLC_CHEM_mu=0.31_P	GLC_CHEM_mu=0.31_V	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.36_P	GLC_CHEM_mu=0.40_V	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.41_P	FUM_BATCH_mu=0.42_S	SUCC_BATCH_mu=0.44_S	GLC_CHEM_mu=0.46_P	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	MAN_BATCH_mu=0.47_S	GLC_CHEM_mu=0.49_V	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.51_P	GLC+SALTS_BATCH_mu=0.55_S	XYL_BATCH_mu=0.55_S	GLC_BATCH_mu=0.58_S	GLC@pH6_BATCH_mu=0.63_S	FRU_BATCH_mu=0.65_S	GLC@42deg_BATCH_mu=0.66_S
P09126	2.1491399187056e-07	NaN	NaN	NaN	1.93779860148332e-07	NaN	NaN	NaN	NaN	NaN	1.35660997912206e-07	NaN	NaN	8.98200598194685e-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.43720159177447e-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P06983	NaN	3.13463136672041e-07	3.9060404165189e-07	NaN	NaN	NaN	NaN	4.27486881151506e-07	2.95965356043787e-07	NaN	NaN	3.50579183062869e-07	NaN	NaN	4.48526658379168e-07	NaN	3.62477697901765e-07	3.8453353731584e-07	NaN	4.31690184224387e-07	8.30364762336631e-07	3.84333181860572e-07	NaN	3.09510836852525e-07	NaN	3.99633120584678e-07	3.50468038595607e-07	3.96938257019677e-07	4.31338251532159e-07	3.18405958138134e-07	3.90160792244964e-07
P00936	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P27838	1.7988668450903e-06	1.32896081431252e-07	1.07291522651191e-07	NaN	1.53348253389261e-06	NaN	NaN	1.0264238935984e-07	2.23483597870143e-07	NaN	1.34221864180644e-06	1.54648170221382e-07	NaN	1.30412688534519e-06	2.08241644569685e-07	NaN	1.82694940703398e-07	1.56497114192651e-07	NaN	2.01046974616759e-07	1.81988356496962e-07	2.14238492566596e-07	1.44899632636494e-06	1.92485586317689e-07	NaN	2.55095715206683e-07	1.38693866652955e-07	3.50392847869532e-07	1.80273834461422e-07	2.44422897282973e-07	1.3621687488272e-07
P0A6K1	1.28243924064928e-06	3.35312333001412e-07	3.69992457142575e-07	NaN	1.35907562782298e-06	NaN	NaN	3.65236594436821e-07	4.7291448375536e-07	NaN	1.29698153604863e-06	2.12850898059581e-07	NaN	1.1504012367466e-06	3.68136446856712e-07	NaN	5.09235897937633e-07	4.48388416661147e-07	NaN	5.67974988569107e-07	4.4839506562537e-07	NaN	1.08599245435505e-06	4.70457968502417e-07	NaN	4.05783264736649e-07	NaN	6.41182057984559e-07	5.40529548045994e-07	NaN	5.29805462541245e-07
P23305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0A8P6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0ADP0	NaN	1.50905115981522e-07	2.15816837332869e-07	NaN	NaN	NaN	NaN	2.62685280843938e-07	3.43134287713687e-07	NaN	NaN	2.72227744326792e-07	NaN	NaN	4.99168063534525e-07	NaN	3.70619925252567e-07	4.08874065545206e-07	NaN	3.88534609906098e-07	3.81531308336792e-07	3.93139070078167e-07	NaN	2.86652004347159e-07	3.19446466072837e-07	3.67511693210307e-07	3.13675387363874e-07	4.37317772609011e-07	3.08596792553805e-07	2.77147481875387e-07	3.85669198254782e-07
P03018	1.83715987899652e-07	1.11894369080718e-07	1.04630402585434e-07	NaN	1.99314989885106e-07	NaN	NaN	6.93314275955439e-08	7.07096415385512e-08	7.58036102802895e-08	1.72645728426104e-07	8.19786260257053e-08	NaN	1.38176965974376e-07	5.94372295007037e-08	NaN	5.84417778220587e-08	5.81208125989655e-08	NaN	9.01523212505794e-08	6.82170431401998e-08	NaN	1.39837504895408e-07	9.86932899331512e-08	8.08032400885483e-08	5.70105737958374e-08	6.78680130318685e-08	5.43059303559929e-08	NaN	6.04852321973027e-08	NaN
P0ABI4	2.13157846163165e-06	1.73946086656131e-06	1.52358800564811e-06	6.89752596079718e-07	1.60267165560228e-06	8.64386105057104e-07	8.38632907926303e-07	8.0071537413875e-07	4.26226867714745e-07	6.77676072480575e-07	9.43437703952501e-07	9.48394161034976e-07	6.14001763819007e-07	6.52944031494354e-07	7.02277133257384e-07	5.69734265642166e-07	4.53191223544886e-07	4.18840419651941e-07	5.22981538568017e-07	7.95794936305445e-07	6.32594424358785e-07	6.17746400719161e-07	6.87312155223596e-07	9.3878344362872e-07	5.62327868278691e-07	2.64257806787918e-07	3.30719041978573e-07	4.89515250856566e-07	2.90220780086079e-07	5.03057614160366e-07	6.00860453182931e-07
P0ADP2	9.67037484375655e-07	2.1401618853048e-07	2.20413317446449e-07	1.5468431389596e-06	1.09887421083336e-06	1.60969069525857e-06	7.40708399485914e-07	2.2413746247965e-07	2.3866691817576e-07	1.53827823018715e-06	1.07295973979301e-06	2.19161784615524e-07	9.54981280206578e-07	8.75758163080128e-07	2.7041624732203e-07	1.51860515751663e-06	2.51240212318423e-07	2.26066556655909e-07	1.42309089149886e-06	2.94771586398358e-07	1.74631055951526e-07	2.17554995921274e-07	1.03984960009485e-06	2.43478366521967e-07	1.28222799101796e-06	4.67555240456593e-07	2.80543965641965e-07	1.88910221682087e-07	4.70288528426367e-07	1.74859780320814e-07	5.8051319469357e-07
P0A921	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.48475074650379e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P27848	NaN	1.04100164862858e-06	1.05450511405699e-06	1.01800330286545e-06	NaN	5.80591556972033e-07	NaN	1.02571805640449e-06	1.09873419174121e-06	8.12417695295162e-07	NaN	1.00984668095348e-06	5.98990797609657e-07	NaN	1.14649645431412e-06	6.7820754297151e-07	1.0879877953253e-06	1.22513992087806e-06	6.24622211207475e-07	1.37314238605271e-06	1.17570043923357e-06	1.42350423299321e-06	NaN	1.20921727466806e-06	NaN	9.53524842142401e-07	1.01645109711667e-06	1.51362056066942e-06	1.12775477637213e-06	1.17050314157197e-06	9.16994373048343e-07
