Row	GLC_CHEM_mu=0.11_V	GLC_CHEM_mu=0.12_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.21_P	GLC_CHEM_mu=0.21_V	GLC_CHEM_mu=0.22_P	GLC_CHEM_mu=0.26_P	GAL_BATCH_mu=0.26_S	ACE_BATCH_mu=0.3_S	GLC_CHEM_mu=0.31_P	GLC_CHEM_mu=0.31_V	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.36_P	GLC_CHEM_mu=0.40_V	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.41_P	FUM_BATCH_mu=0.42_S	SUCC_BATCH_mu=0.44_S	GLC_CHEM_mu=0.46_P	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	MAN_BATCH_mu=0.47_S	GLC_CHEM_mu=0.49_V	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.51_P	GLC+SALTS_BATCH_mu=0.55_S	XYL_BATCH_mu=0.55_S	GLC_BATCH_mu=0.58_S	GLC@pH6_BATCH_mu=0.63_S	FRU_BATCH_mu=0.65_S	GLC@42deg_BATCH_mu=0.66_S
P00561	6.46060342876257e-06	3.87840449364654e-06	4.94673189823456e-06	1.34798774183335e-05	8.46447135155848e-06	1.35861572380441e-05	1.5760580333631e-05	4.72084407335872e-06	4.61295086904764e-06	1.75558267168706e-05	1.00798738055553e-05	6.86653810247329e-06	2.02369664322365e-05	1.52144614268318e-05	2.049294229352e-05	2.28818626906317e-05	6.78087071067454e-06	7.44157040453359e-06	2.57982080503955e-05	1.00151469740713e-05	8.91916396148492e-06	8.36425958122768e-06	1.51800933031026e-05	1.48493183272562e-05	2.84365472950111e-05	1.15739400475424e-05	1.67791082380984e-05	1.01050845142617e-05	9.07220300762955e-06	1.63898659461855e-05	7.61894229145995e-06
P00547	7.72905388698619e-07	4.01018825235557e-07	4.25875978523465e-07	2.43070211671866e-06	1.00754457017659e-06	2.59878551359776e-06	2.79149330839369e-06	6.94270571508481e-07	8.32129089083786e-07	3.04767593282824e-06	1.20449455008326e-06	4.37023652398926e-07	3.90780622178399e-06	1.91218604661043e-06	1.69340752779638e-06	4.06901360459496e-06	8.98636435181832e-07	7.81100813347641e-07	4.26616012104508e-06	1.32435949385491e-06	8.42849300826945e-07	4.40866221802968e-07	1.95777538789695e-06	6.10772291434291e-07	5.05139099594761e-06	2.74397428612664e-06	2.11388209816986e-06	1.05261370848913e-06	1.4332431032655e-06	1.21075863056669e-06	9.84081226142312e-07
P00934	1.62659347993739e-05	7.92265100840159e-06	8.2813572606337e-06	2.25433584320052e-05	2.03778317227396e-05	2.2461569323447e-05	2.44363635290662e-05	1.06459830131816e-05	1.22540333857905e-05	2.6525213800405e-05	1.95102252961809e-05	1.06795086670924e-05	2.9288705711609e-05	2.4830591999168e-05	3.95234630550953e-05	3.12979956279376e-05	1.75672814409566e-05	1.97318208410649e-05	3.47640687687654e-05	1.73101867674017e-05	2.11744443923149e-05	1.74249276858456e-05	2.79501407994526e-05	1.64034757585519e-05	3.86949758634964e-05	3.16024345646433e-05	3.06148224132715e-05	2.58835529821221e-05	1.63897200845558e-05	2.4660838954022e-05	1.25890092414389e-05
P0A8I3	2.94619860080105e-07	4.84204674533198e-07	7.0190670534423e-07	8.92670265477091e-07	3.65368881988325e-07	NaN	1.10442324733955e-06	8.80793742235146e-07	9.44056850875626e-07	NaN	4.23437424863208e-07	7.66426770938531e-07	NaN	4.35312794116651e-07	1.14706003116004e-06	NaN	1.02806020959251e-06	1.04876860935711e-06	NaN	1.43400576612154e-06	1.14200171549178e-06	1.24050567719855e-06	4.96853372917328e-07	8.6330440176362e-07	1.04946761282717e-06	9.6522995520583e-07	1.33034291184073e-06	1.42350638063987e-06	9.28435149549293e-07	1.42017897217394e-06	1.13725133548422e-06
P0A870	3.15717761862238e-05	9.99586165937833e-06	1.18031803236585e-05	7.88925583154719e-05	3.55712596565717e-05	7.62100252865503e-05	8.11452188993796e-05	1.75817214320943e-05	1.47065334188443e-05	7.96601001972139e-05	3.60174414327169e-05	1.45756529425668e-05	8.08765499393449e-05	3.75404072201096e-05	2.25864289986904e-05	8.16601897885651e-05	1.91927552952955e-05	1.87505542895618e-05	8.19384749776799e-05	1.88769818707892e-05	2.15317309175072e-05	1.73815844178654e-05	3.83221184970258e-05	1.86485610437086e-05	8.4816778552263e-05	2.448734902728e-05	2.40997636964124e-05	1.88326233602305e-05	2.26821991426515e-05	2.12693820053537e-05	3.28046775354412e-05
P0AF03	9.73931236866001e-07	5.41860068968399e-08	5.92945934651792e-08	NaN	8.58096067283695e-07	4.80860592728813e-07	4.54264687032387e-07	NaN	1.053424888639e-07	NaN	8.3655938067152e-07	5.64834829957162e-08	NaN	6.52944031494354e-07	9.74786666007139e-08	NaN	1.3477268288931e-07	NaN	NaN	1.22552612249669e-07	8.31413082362536e-08	NaN	6.05492873841828e-07	6.31704397468256e-08	3.65967394342493e-07	NaN	NaN	8.36116428547898e-08	NaN	NaN	NaN
P0A6Y8	4.0680385681059e-05	2.5440303754192e-05	2.54028586117088e-05	6.29719888502574e-05	3.58397637681664e-05	6.35976517093881e-05	6.17608038900733e-05	2.5114894113299e-05	3.10105752892677e-05	5.99584378327215e-05	3.51007233095846e-05	2.78088901591623e-05	5.97086027107563e-05	3.38974364241712e-05	2.66465171077198e-05	5.84306485029463e-05	3.3378219066797e-05	3.83562451658356e-05	6.11731172853468e-05	3.34918946383994e-05	3.37353387012421e-05	3.44931406574221e-05	3.40168442684018e-05	2.89797993259395e-05	6.13383123216857e-05	3.73523684564025e-05	3.32880610238438e-05	3.29650285824586e-05	5.8625645181837e-05	3.1858241589817e-05	7.59600983357248e-05
P08622	2.39847235366665e-06	9.6989244602936e-07	1.09064796295009e-06	2.66092615737109e-06	2.48562548734021e-06	2.73527815911463e-06	2.82087318055632e-06	9.68818470998487e-07	1.08114429328917e-06	2.70339690377051e-06	2.45417588656309e-06	1.21955261893535e-06	2.80566953933092e-06	2.06938373113481e-06	1.185463767661e-06	2.59029429967144e-06	1.49858585876259e-06	1.16549782526476e-06	2.8576855593714e-06	1.38314864071218e-06	1.4133831796522e-06	1.12202645390728e-06	1.85658315243647e-06	1.24758344935587e-06	2.80706529175439e-06	1.19714990725919e-06	1.39458576658948e-06	1.2197129676041e-06	1.44545370594265e-06	1.02877594066447e-06	3.03621622321332e-06
P0A7U7	5.5556449403529e-05	2.12977226140176e-05	2.24775377074236e-05	6.22866420144653e-05	6.1033913152318e-05	6.39087382140755e-05	6.80641171974693e-05	2.52217715258224e-05	2.37720039065058e-05	7.66019194205221e-05	6.39796085595066e-05	2.53518796152491e-05	8.19292889717043e-05	7.62795725831208e-05	3.20609206329986e-05	9.07205865229864e-05	3.61793830047387e-05	3.53522573141182e-05	0.000101627688553769	3.83059786579363e-05	4.01735675497864e-05	3.30653669028688e-05	8.57323161894996e-05	3.56238443243751e-05	0.000105839552014407	4.85122288570677e-05	3.99742055689305e-05	5.1103599119229e-05	4.33164174565401e-05	4.58917334479382e-05	5.11552367535577e-05
P0AG40	NaN	2.33137545802972e-07	3.0791578360865e-07	NaN	NaN	3.58876653695897e-06	NaN	2.60636076087419e-07	2.18101614015414e-07	NaN	NaN	2.38052511482317e-07	NaN	NaN	2.83740814179282e-07	NaN	2.58590008783502e-07	2.26105563912687e-07	3.26041185337653e-06	2.80847335672608e-07	2.94006116355849e-07	2.14676880941065e-07	NaN	3.3751384197571e-07	3.26852800799576e-06	1.90420005737568e-07	2.69614383952538e-07	2.8343620486291e-07	2.587067773961e-07	2.88775334270821e-07	3.01173197025932e-07
P00956	7.54201682124447e-06	2.34037997530486e-06	2.59776121619111e-06	8.99714763374273e-06	8.2596212319366e-06	9.07005819581563e-06	9.53326046973537e-06	3.08910786362648e-06	2.94934903037455e-06	9.40192582218189e-06	7.91136093277103e-06	2.85797198742096e-06	9.05653843289403e-06	7.37576165169628e-06	3.86593588560791e-06	8.86737045230845e-06	3.28290248414468e-06	3.05933914908515e-06	9.15691729760432e-06	3.11380816781294e-06	3.45768347162174e-06	3.0978047369109e-06	6.7271954046301e-06	3.08070468519535e-06	8.92453363149072e-06	3.76249947877843e-06	4.42529023373675e-06	3.83812699692526e-06	3.47608895284353e-06	3.43642137788751e-06	4.98056985021164e-06
P0AEM0	4.67909676330125e-06	1.4838120275705e-06	2.07889118736974e-06	2.33697627515035e-06	7.10262815886711e-06	2.49535325856384e-06	2.32577636599936e-06	2.82583059029733e-06	3.35015368166981e-06	2.66400113876448e-06	7.51469340808931e-06	1.94643675849677e-06	2.63470700270357e-06	6.77117452635684e-06	2.3656741940082e-06	2.66674753136612e-06	3.02552093246191e-06	2.37019794359124e-06	2.4926510032563e-06	2.71079233715206e-06	2.58123074887355e-06	3.68248140590381e-06	6.30914215141994e-06	1.9120609029202e-06	2.52451748401424e-06	2.09548577255399e-06	1.97677536549161e-06	2.22344247973036e-06	1.63716532012698e-06	2.97390824905333e-06	2.0225512652259e-06
P62623	8.69971436537137e-07	1.6314066592597e-07	2.04857861062071e-07	7.74951047969527e-07	9.68798662019174e-07	NaN	NaN	2.09906873892716e-07	2.60216731577824e-07	NaN	9.70157284772746e-07	2.58327020783303e-07	NaN	9.50029540275386e-07	3.61957229296023e-07	7.28943748746744e-07	3.09681990140482e-07	2.62440823601235e-07	6.61425530682263e-07	2.58357270017638e-07	3.94358933381038e-07	2.73992734043133e-07	9.34229260844958e-07	2.68263925498734e-07	7.26898813477347e-07	1.87750734961932e-07	2.76738451225349e-07	3.97611544247582e-07	2.40571198736363e-07	3.22485906347058e-07	2.5272814756039e-07
P22564	1.25813498916872e-06	7.49255288914222e-07	7.93013779595501e-07	NaN	1.3120270250604e-06	NaN	3.63101446124263e-07	3.12640339019512e-07	4.62588075708888e-07	NaN	9.43437703952501e-07	7.99868179764874e-07	NaN	5.02640099460319e-07	5.12291352946804e-07	NaN	7.25292178929963e-07	5.03700706772109e-07	NaN	2.95059674344408e-07	4.04594348906684e-07	5.99619994453072e-07	1.69576247390257e-07	5.4580606779179e-07	NaN	1.14490073538746e-07	1.11874909603157e-07	7.50183716565332e-08	NaN	1.46028146311082e-07	8.71977118996362e-08
P04036	2.98424003790106e-06	2.25589641616462e-06	2.36259077838001e-06	2.88614048738488e-06	3.38246746278133e-06	2.45603397529396e-06	2.48145217159178e-06	2.43274758011359e-06	3.54296434716462e-06	2.58059748931928e-06	3.31745484805485e-06	2.28147983877574e-06	2.80114472767593e-06	3.23533365050563e-06	3.32959187798676e-06	3.07963099076583e-06	2.42372910707185e-06	2.17523967421565e-06	3.68365280187673e-06	3.17396093094818e-06	3.34128182801817e-06	2.95313657333613e-06	5.51329113399433e-06	2.74324696146638e-06	4.51574246833902e-06	4.80773541479993e-06	3.66948982073821e-06	5.46032398213677e-06	6.76956842851947e-06	3.87948675359248e-06	6.883857475014e-06
P0A6F1	4.89053871924602e-06	3.97093915058572e-06	4.49441406305771e-06	5.32629479407819e-06	5.60240672275639e-06	5.50085721418676e-06	6.55556908457601e-06	7.85214278602774e-06	6.47868339403716e-06	7.81299799598057e-06	7.49823897696272e-06	5.62234996292919e-06	8.68299976799297e-06	1.30725674961453e-05	8.03984638976993e-06	1.03600625161439e-05	9.81413765504438e-06	1.07996466296517e-05	1.18905422587184e-05	9.00858689643572e-06	1.10959909650928e-05	8.00123588643913e-06	1.13687036050825e-05	9.0817842246503e-06	1.35260815729524e-05	1.05296780346417e-05	1.07849360703685e-05	1.64001606324056e-05	1.24023486390238e-05	1.27906376349777e-05	1.44024312150542e-05
P00968	4.41220287126626e-06	2.95832821524815e-06	3.40906414823854e-06	6.29945519875192e-06	6.01205664263891e-06	6.41542436721218e-06	7.77263366609577e-06	3.81270483209492e-06	3.31317989014748e-06	8.59373237332734e-06	7.35024973554588e-06	3.92608429541419e-06	9.23097587747805e-06	9.55569701948284e-06	3.71850015716475e-06	1.03420679903895e-05	4.95493165301985e-06	5.08426435930743e-06	1.17952417512885e-05	4.27914311544825e-06	5.43693074089291e-06	4.85454131559288e-06	1.04284863402496e-05	5.61195561656082e-06	1.33808511145422e-05	4.05590283673815e-06	4.84631359175321e-06	7.87526352395117e-06	4.99458301488454e-06	6.28186225771234e-06	6.06974762144755e-06
P31551	NaN	NaN	8.57848341197574e-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.4850049849557e-08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.26202093597336e-08	NaN	NaN	NaN	1.05209988402573e-07	NaN	NaN	NaN
P0A754	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.18655092496371e-08	NaN	NaN	6.31851070158598e-08	NaN	NaN	NaN	NaN	NaN	NaN	8.04401056496601e-08	NaN	NaN	NaN
P03819	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P0ABQ4	1.99294862140609e-06	4.51099831609909e-07	3.74516361254361e-07	NaN	2.13686199456221e-06	NaN	NaN	3.96612196153294e-07	3.87152789810087e-07	NaN	1.58682105681061e-06	3.73747055635351e-07	NaN	1.36113872163396e-06	5.71104622368089e-07	NaN	6.25247779607456e-07	4.4940260533737e-07	NaN	4.69064793758607e-07	5.66721806003789e-07	4.41552394910832e-07	1.21244500915972e-06	3.63571414545248e-07	3.48401238186442e-07	4.02067928386778e-07	3.944027927135e-07	5.22329144174445e-07	4.27474136760908e-07	4.48964300823711e-07	3.90397191928658e-07
P05637	4.78285528618514e-07	1.08266078296325e-07	1.00880642492777e-07	NaN	4.59466087513483e-07	4.54806178758467e-07	3.13203630719923e-07	8.1831576610307e-08	1.10440058937688e-07	3.77003617798586e-07	4.06982993736617e-07	8.29850132505733e-08	NaN	3.55808203352079e-07	9.13598322735165e-08	2.98878526864864e-07	8.95446900866798e-08	7.7877988156936e-08	NaN	7.89168913546295e-08	7.78615873785181e-08	7.67370258961845e-08	3.52587764232502e-07	7.03909874940197e-08	2.93755392983391e-07	1.13209544990975e-07	7.55511843184951e-08	1.01294291629759e-07	1.02785452915272e-07	5.26483316793273e-08	1.01212836004342e-07
P62672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.46118372204352e-08	NaN	NaN	9.72039538012431e-08	NaN	NaN
P06992	1.20615508900429e-06	1.76938764456397e-07	1.476679716489e-07	7.11683469145493e-07	1.17083089741142e-06	7.47199384172012e-07	NaN	1.68194172626694e-07	2.42539321193187e-07	8.01567990117228e-07	1.18391393133471e-06	1.63265360834314e-07	8.41697887720679e-07	1.0985722946659e-06	2.80822291227165e-07	1.10441061851284e-06	2.61819164642823e-07	2.86040213951822e-07	9.42835914757248e-07	2.27186154255029e-07	3.26980546261561e-07	2.25541288482253e-07	1.62898868153258e-06	1.93682775581472e-07	1.07434314145104e-06	2.81626102442898e-07	2.77171305945723e-07	4.47629698046919e-07	3.02895076535782e-07	3.03174151491483e-07	4.1250056235403e-07
P19624	NaN	2.13433543295031e-07	2.3473498180034e-07	NaN	NaN	NaN	NaN	2.94106420443889e-07	3.10623604753821e-07	NaN	NaN	2.23124434313441e-07	NaN	NaN	3.51269396967925e-07	NaN	3.02985949156124e-07	2.77029537636143e-07	NaN	3.39098718363918e-07	3.16440164910198e-07	2.54189015735598e-07	NaN	2.14390408628477e-07	NaN	4.79296424746719e-07	3.43578434296331e-07	3.26012762985406e-07	4.07380739950404e-07	2.70194570136012e-07	3.11794297100461e-07
P0ABZ6	1.01345709512269e-05	2.14710066038153e-06	2.12785579657967e-06	6.73431136628902e-06	9.01531739908997e-06	6.66934570772613e-06	6.12446574790686e-06	2.69595654661753e-06	1.96805585217881e-06	5.91891509046711e-06	7.67088470538882e-06	2.06036817891204e-06	5.77613928176066e-06	6.84026300934402e-06	2.4289558227079e-06	5.29818398418023e-06	2.22940524312047e-06	2.31831829207672e-06	5.70282387540676e-06	2.17381561157794e-06	2.47655122919599e-06	2.26193152934725e-06	7.23149604301146e-06	1.92564151863125e-06	5.47118766316605e-06	2.73409077001145e-06	2.23407142552685e-06	2.75337268234615e-06	2.09043456971642e-06	2.39458960295449e-06	2.37066668515674e-06
P31554	3.95107624483174e-07	8.15226619891753e-07	8.2003624426323e-07	1.49456384703986e-06	3.32158103567681e-07	1.44019501396764e-06	1.41834220151466e-06	8.47778776713459e-07	6.45663038702266e-07	1.40020626241653e-06	3.12432913960269e-07	7.57243487511611e-07	1.34781190949612e-06	2.729322153842e-07	7.16205532449556e-07	1.28157721497451e-06	6.98785365802534e-07	6.58910581491091e-07	1.27216920946635e-06	9.98877732407624e-07	6.92615510932825e-07	6.58230614083168e-07	1.60669720450175e-07	6.99326884789776e-07	1.28057499005097e-06	1.05183697050719e-06	7.78164573551155e-07	9.27453156438647e-07	1.04233207916234e-06	6.05056319383474e-07	9.06288844515352e-07
P31680	NaN	1.12715369185215e-07	1.0216281852446e-07	NaN	NaN	NaN	NaN	6.791975320772e-08	NaN	NaN	NaN	9.74937624090869e-08	NaN	NaN	NaN	NaN	5.11117921291225e-08	5.51757647122394e-08	NaN	NaN	7.19338141411327e-08	NaN	NaN	1.3546944763e-07	NaN	NaN	5.60546862883463e-08	NaN	NaN	7.79270107904541e-08	8.48168293710056e-08
P0AA37	NaN	1.67934247181262e-07	2.94465031276279e-07	NaN	NaN	NaN	NaN	1.51481769390198e-07	1.37021808464092e-07	NaN	NaN	2.666716481895e-07	NaN	NaN	1.13701628665586e-07	NaN	1.95195537925676e-07	1.59851738275544e-07	NaN	1.45292354124549e-07	2.11722524504426e-07	NaN	NaN	1.36704049058277e-07	NaN	2.1635521773327e-07	NaN	2.0933917362351e-07	2.22418446233198e-07	NaN	2.46699955626198e-07
P60240	4.71391776128168e-07	2.33508320043713e-07	1.82697988514497e-07	2.67258313547321e-07	4.12417484750904e-07	3.05685304780796e-07	3.20013079951359e-07	1.0614880638766e-07	1.4275384004921e-07	3.31952768510311e-07	4.93280698269047e-07	1.78738564416659e-07	3.16710741784652e-07	4.92274311044179e-07	1.08247009906801e-07	3.85980106419569e-07	1.219353025406e-07	1.18074966266489e-07	4.1160919841943e-07	1.92365924509119e-07	1.4081797002509e-07	1.44134473379768e-07	5.5638117726827e-07	1.97667171100002e-07	4.28402933406976e-07	1.00404259513264e-07	1.55827699334399e-07	1.48778759281981e-07	1.78109930189521e-07	1.6292593180971e-07	1.71220913761098e-07
P08202	4.43665808083055e-07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P31550	3.19910371041038e-06	NaN	NaN	1.93167754230066e-06	3.52914840080584e-06	1.74180429616025e-06	2.13332860371694e-06	NaN	NaN	2.2204592309869e-06	4.1088274423298e-06	NaN	2.0926425308516e-06	4.43409179340714e-06	6.59586187178483e-08	2.03500287030468e-06	NaN	5.28743365623475e-08	2.10285781163941e-06	NaN	5.16345263668067e-08	NaN	5.11903893865229e-06	NaN	2.48653945181681e-06	NaN	NaN	NaN	NaN	NaN	NaN
P30126	3.77030897150095e-05	1.78404117223553e-05	1.31576178611269e-05	3.42766616330504e-05	5.16892052145288e-05	3.68001003344393e-05	3.58948605313207e-05	1.18957702252406e-05	1.45519654678945e-05	3.53140136822928e-05	4.08436216889326e-05	1.17287302482189e-05	3.45429917060096e-05	3.50512593774824e-05	7.34942449802149e-06	3.25087815747733e-05	9.67942440447151e-06	1.22781581869302e-05	2.98059838088663e-05	1.18409523468209e-05	9.89604574271473e-06	1.041650804503e-05	3.36672253464827e-05	7.54822218990815e-06	2.89523629238187e-05	6.95332412123714e-06	1.01848371074109e-05	9.06932070455511e-06	2.89459978822228e-06	9.35045930478111e-06	4.31412537049536e-06
P0A6A6	2.26780303638979e-05	9.56658454022346e-06	7.47443308069447e-06	2.47712319144119e-05	2.76188884443873e-05	2.51892572825572e-05	2.51236253947125e-05	5.18819937149538e-06	7.76994383749224e-06	2.56567636192247e-05	2.42459313408809e-05	6.49476188848663e-06	2.46069560577669e-05	1.91787213443094e-05	4.24822213684627e-06	2.36556620498546e-05	5.82504057631566e-06	5.46651597210177e-06	2.14151171414408e-05	6.91754855468949e-06	5.56509262915072e-06	3.95119441908921e-06	1.71735451181211e-05	4.08972946766012e-06	2.04312612633434e-05	2.90817051005492e-06	4.11441036644195e-06	4.89635733834191e-06	1.90712096496828e-06	4.37933140853832e-06	2.03239562348257e-06
P30125	2.00057200463446e-05	1.82900549408766e-05	1.52268564402581e-05	2.34786064101074e-05	2.8036841058875e-05	2.460640608243e-05	2.42576212184507e-05	1.7488277695197e-05	1.58511894972159e-05	2.30039851019081e-05	2.42479944346919e-05	1.29673622916257e-05	2.19999778475473e-05	1.76033731018622e-05	6.00849403186288e-06	1.93337163333602e-05	8.83100827667236e-06	8.58723303972682e-06	1.89606175905057e-05	8.20797128849971e-06	9.59045092498162e-06	8.16071395292531e-06	1.63359793502247e-05	1.02043175141875e-05	1.71774478324349e-05	2.20448219826667e-05	1.24723480552905e-05	8.12911052695616e-06	8.04192696655351e-06	8.54159257257767e-06	1.06117960584071e-05
P09151	2.53433462902382e-05	1.3326579631702e-05	9.17007459459405e-06	2.7887097745711e-05	3.04145315163481e-05	2.88882507397902e-05	2.79122719692475e-05	9.7276888239022e-06	9.28311266403072e-06	2.73704532000781e-05	2.26303779288004e-05	8.02436563828339e-06	2.37498763304732e-05	1.65894379728077e-05	4.21231424066298e-06	2.19054910924006e-05	5.77858431564016e-06	6.76424839784336e-06	1.96374214340627e-05	6.08912285702811e-06	6.44430910469448e-06	6.3538295562769e-06	1.29471213285655e-05	6.92130654949503e-06	1.7820863737391e-05	1.13824920118439e-05	9.48000533773636e-06	4.80383349875985e-06	3.79033593988508e-06	6.47611879180974e-06	7.99005602347587e-06
P00893	3.98936927873797e-06	7.51241579489619e-07	8.68807317468372e-07	2.61997640168991e-06	4.73877552573592e-06	2.57137183914286e-06	2.56339913914674e-06	6.33636879657271e-07	6.72529202009611e-07	2.49110910446556e-06	3.93411862009272e-06	8.66688098216005e-07	2.44154409017527e-06	3.56698856046087e-06	9.30002434500513e-07	2.45868843533389e-06	6.79945321494474e-07	5.94899673118673e-07	2.50265877575592e-06	7.80641510343215e-07	8.99039254215408e-07	6.91757794547994e-07	3.7295704166383e-06	8.45683272287307e-07	2.50096168381229e-06	6.65153420307018e-07	8.0859065327073e-07	7.80818285434993e-07	7.27707267565384e-07	7.53804431167172e-07	6.83853627851156e-07
P00894	5.19205233181647e-06	1.89380888620686e-06	1.99825924937731e-06	6.21524628018503e-06	4.7858241284985e-06	5.53451555117814e-06	5.94332371412925e-06	2.92958865780238e-06	1.9729783983874e-06	6.29633721673099e-06	4.77067800076424e-06	1.79304657230648e-06	5.42013381208544e-06	4.28036614480855e-06	2.68747657303199e-06	5.35899102492938e-06	1.89856534833118e-06	2.73288741711149e-06	5.59985259215553e-06	2.78675152559391e-06	2.37581720488865e-06	3.03334258549985e-06	5.01487786087846e-06	2.0157487168132e-06	5.83970768124884e-06	2.52971119954184e-06	3.28735124510196e-06	2.71588121460283e-06	2.73890172370601e-06	3.28306632458457e-06	2.42292790094477e-06
P0ACP1	2.07959856146722e-06	9.34139215672208e-07	7.15526801680785e-07	7.77851945157433e-07	2.15623494864092e-06	9.99258767318062e-07	1.05721849865365e-06	5.45657688777409e-07	5.65261450628573e-07	8.47082405561367e-07	1.65872742402743e-06	6.7740343433875e-07	7.24971146420608e-07	1.17113281357888e-06	6.45476638285834e-07	7.16293341392949e-07	6.01989933111491e-07	6.24681713668546e-07	NaN	4.15998994096197e-07	4.81560099172157e-07	5.54294448605798e-07	8.88136725946005e-07	5.40044594459832e-07	4.62467881143541e-07	1.65170147049123e-07	3.20979810770174e-07	2.6268832739248e-07	2.13556743024462e-07	4.71489014893814e-07	2.5824976874381e-07
P22186	NaN	2.95983779608545e-07	2.36500997843979e-07	NaN	NaN	NaN	NaN	3.60546192438567e-07	3.35848919324969e-07	NaN	NaN	2.20797163855934e-07	NaN	NaN	3.26995337104109e-07	NaN	2.92723969186013e-07	1.84328791903632e-07	NaN	2.39535524209038e-07	2.59621219506192e-07	1.8947907959115e-07	NaN	2.55076137514869e-07	NaN	2.42903640582834e-07	2.77279519625816e-07	2.61713832720513e-07	3.09283746290916e-07	2.00342456842387e-07	2.89083041774162e-07
P60390	1.01901738454009e-06	4.38149217058318e-07	3.93458697722429e-07	7.90808277475769e-07	1.21239468979847e-06	7.41472916805664e-07	6.13751822913776e-07	6.86984510151971e-07	6.74235684695257e-07	8.12358024519417e-07	8.13965987473233e-07	3.87354249571587e-07	6.7508509694544e-07	7.87648961542935e-07	8.66096845721395e-07	7.02563884684481e-07	5.95392945987848e-07	6.89706810717187e-07	7.22053810732182e-07	5.40913927503476e-07	6.33375899287186e-07	7.0357522029455e-07	8.65794929553935e-07	4.34598408835652e-07	6.95723090185438e-07	6.41328375073136e-07	8.08897258697662e-07	6.6178819077543e-07	7.74609033966655e-07	7.46426524822701e-07	9.39148400548793e-07
P0AEN4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.59857588790695e-08	NaN	NaN	NaN	NaN	NaN	9.74585388562165e-08	NaN	6.59302496921394e-08	5.84328706531882e-08	NaN	5.65804726042196e-08	7.3973273100619e-08	5.77719636093729e-08	NaN	NaN	NaN	NaN	NaN	1.04058312881157e-07	NaN	NaN	NaN
P0AD68	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P22188	4.5750363242499e-07	5.36536810226334e-07	5.35973773244e-07	4.24197065224931e-07	7.5841341266052e-07	3.98102487447466e-07	4.56921270556905e-07	6.87052816977188e-07	1.11387375608053e-06	3.52037026097356e-07	5.50846047531496e-07	5.81817614376809e-07	4.24234661447393e-07	5.94221336923307e-07	1.01151979971482e-06	4.31066126689058e-07	7.83753767524165e-07	6.85045443532237e-07	4.60467557468477e-07	6.60028690263616e-07	7.15888215507897e-07	7.55667195399933e-07	7.22988582345167e-07	6.30881329849404e-07	4.95389270254271e-07	7.44221549228546e-07	8.32487840958008e-07	9.07041922582169e-07	1.00396571294468e-06	7.38946619773006e-07	1.01226344557695e-06
P11880	6.51585408740783e-07	5.05365290129765e-07	5.60843149858526e-07	1.54627162752381e-07	6.14500039504397e-07	2.1023075348216e-07	2.0368355586266e-07	5.41582048206111e-07	1.11354558633329e-06	2.01516901147018e-07	6.20739640298579e-07	5.69594202874766e-07	2.64971968701367e-07	7.28926266971888e-07	9.97973827668097e-07	2.45584720952707e-07	9.65022332633262e-07	5.12360317776787e-07	NaN	6.45566675371906e-07	9.04643001262968e-07	6.41609976581561e-07	7.79547544382748e-07	7.80249396588641e-07	2.3898311421103e-07	8.02620865252248e-07	7.68281057435964e-07	9.39926688239828e-07	9.56136558998305e-07	5.28285293918881e-07	8.85435015275218e-07
