GENENAME,ID
b0576,P24207
b0577,P0AAT4
b0578,P38489
b0579,P0AAT2
b0581,P77213
b0584,P05825
b0585,P13039
b0586,P11454
b0588,P23878
b0592,P0AEL6
b0593,P0AEJ2
b0594,P10378
b0595,P0ADI4
b0596,P15047
b0597,P0A8Y8
b0598,P15078
b0599,P45579
b0600,P77806
b0604,P77202
b0605,P0AE08
b0606,P35340
b0607,P39177
b0608,P77316
b0610,P0AFW4
b0611,P21338
b0620,P0AEF4
b0623,P0A972
b0627,P0A843
b0628,P60716
b0630,P60720
b0631,P0A8J4
b0632,P0AEB2
b0633,P10100
b0635,P0AD65
b0636,P0A8I8
b0637,P0AAT6
b0639,P0A752
b0641,P0ADC1
b0642,P07813
b0643,P0AAT9
b0650,P77319
b0651,P41409
b0652,P0AAG3
b0653,P0AER5
b0655,P37902
b0657,P23930
b0658,P0AE78
b0659,P0A898
b0660,P0A9K3
b0661,P0AEI1
b0662,P75728
b0674,P22106
b0675,P0AF24
b0676,P0AF20
b0677,P0AF18
b0678,P0A759
b0679,P09323
b0680,P00962
b0683,P0A9A9
b0684,P61949
b0685,P0AAU7
b0686,P75736
b0687,P0AFY8
b0688,P36938
b0694,P21866
b0695,P21865
b0699,P0AAU2
b0707,P24252
b0710,P0AFP6
b0711,P0AAV4
b0712,P75745
b0713,P75746
b0714,P50465
b0720,P0ABH7
b0721,P69054
b0722,P0AC44
b0723,P0AC41
b0724,P07014
b0726,P0AFG3
b0727,P0AFG6
b0728,P0A836
b0729,P0AGE9
b0730,P13669
b0732,P54746
b0733,P0ABJ9
b0734,P0ABK2
b0736,P0A8Z3
b0737,P0ABU9
b0738,P0ABV6
b0739,P19934
b0740,P0A855
b0741,P0A912
b0742,P45955
b0750,P11458
b0751,P0AFK2
b0753,P0AAV6
b0754,P0AB91
b0755,P62707
b0756,P0A9C3
b0757,P0A6T3
b0758,P09148
b0759,P09147
b0760,P31060
b0761,P0A9G8
b0763,P37329
b0765,P09833
b0766,P21829
b0767,P52697
b0772,P46130
b0773,P12994
b0774,P12995
b0775,P12996
b0776,P12998
b0777,P12999
b0778,P13000
b0779,P0A8F8
b0780,P75767
b0782,P0AEZ9
b0783,P0A738
b0784,P30748
b0785,P30749
b0786,P0AAC4
b0790,P0AAW1
b0795,P75777
b0796,P0ACU0
b0797,P25888
b0800,P30177
b0801,P30178
b0802,P0AAX3
b0803,P41039
b0804,P75779
b0805,P75780
b0806,P0AAX6
b0807,P75782
b0809,P10346
b0810,P0AEQ6
b0811,P0AEQ3
b0812,P0ABT2
b0814,P0A917
b0815,P75785
b0817,P0A9F1
b0819,P0AAX8
b0820,P0A9U3
b0821,P75791
b0822,P75792
b0825,P78055
b0826,P12282
b0827,P12281
b0828,P37595
b0829,P75796
b0830,P75797
b0831,P75798
b0835,P0AEI4
b0837,P75804
b0838,P0ACA7
b0839,P08506
b0840,P0ACK5
b0842,P0AEY8
b0844,P75809
b0847,P60869
b0849,P68688
b0851,P17117
b0852,P0C0U4
b0853,P0AAY6
b0854,P31133
b0855,P31134
b0859,P75817
b0860,P30860
b0862,P0AE34
b0863,P30859
b0864,P0AAF6
b0865,P75818
b0866,P0A8C1
b0867,P75820
b0868,P75821
b0869,P75822
b0870,P75823
b0871,P07003
b0876,P75828
b0877,P75829
b0878,P75830
b0879,P75831
b0880,P0A968
b0882,P0ABH9
b0884,P69222
b0886,P23886
b0887,P29018
b0888,P0A9P4
b0889,P0ACJ0
b0890,P46889
b0891,P61316
b0892,P0AAZ4
b0893,P0A8L1
b0894,P18775
b0897,P21367
b0901,P43340
b0902,P0A9N4
b0903,P09373
b0904,P0AC23
b0905,P75838
b0906,P75839
b0907,P23721
b0908,P0A6D3
b0910,P0A6I0
b0911,P0AG67
b0912,P0A6Y1
b0914,P60752
b0915,P27300
b0917,P0AAZ7
b0918,P04951
b0921,P36566
b0922,P60293
b0923,P22524
b0924,P22523
b0925,P22525
b0927,P75849
b0928,P00509
b0929,P02931
b0930,P0A8M0
b0931,P18133
b0932,P04825
b0945,P0A7E1
b0947,P75863
b0948,P75864
b0949,P43672
b0951,P43671
b0952,P0AB10
b0953,P0AFW2
b0954,P0A6Q3
b0955,P75867
b0956,P0A8N0
b0957,P0A910
b0961,P0AB12
b0962,P15038
b0963,P0A731
b0965,P75874
b0966,P0AB20
b0967,P75876
b0968,P0AB65
b0969,P0AB18
b0970,P0AAC6
b0972,P69739
b0973,P0ACD8
b0975,P19930
b0978,P26459
b0980,P07102
b0984,P75882
b0990,P0A978
b0995,P38684
b0999,P63264
b1000,P36659
b1002,P19926
b1003,P0AB14
b1004,P0A8G6
b1014,P09546
b1015,P07117
b1018,P0AB24
b1019,P31545
b1020,P0A9K1
b1023,P75906
b1033,P75913
b1034,P75914
b1035,P75915
b1037,P0AEA2
b1038,P0AE98
b1040,P52106
b1042,P28307
b1043,P52107
b1045,P0A8D6
b1048,P33136
b1049,P62517
b1051,P25738
b1054,P0ACV0
b1055,P24188
b1056,P0A8X2
b1059,P40874
b1061,P0ABR1
b1062,P05020
b1063,P0AB26
b1064,P0AC59
b1066,P0A948
b1067,P29217
b1068,P75931
b1069,P0AF16
b1070,P43533
b1071,P0AEM4
b1072,P75933
b1073,P0ABW9
b1074,P0ABX2
b1075,P75936
b1076,P75937
b1077,P75938
b1078,P0ABX5
b1079,P0A6S0
b1080,P0A6S3
b1082,P33235
b1083,P29744
b1084,P21513
b1086,P0AA39
b1087,P0A729
b1088,P0AB28
b1089,P0A7N4
b1090,P27247
b1091,P0A6R0
b1092,P0AAI9
b1093,P0AEK2
b1094,P0A6A8
b1095,P0AAI5
b1096,P28305
b1097,P28306
b1098,P0A720
b1099,P28631
b1100,P0AFQ7
b1101,P69786
b1102,P16869
b1103,P0ACE7
b1105,P0AB38
b1107,P75949
b1108,P0A8E1
b1109,P00393
b1110,P0AB35
b1111,P75952
b1112,P0AB40
b1113,P75954
b1114,P30958
b1116,P0ADC3
b1117,P75957
b1118,P75958
b1119,P75959
b1120,A0A7H2C766
b1123,P0AFK9
b1124,P0AFK6
b1125,P0AFK4
b1126,P69874
b1127,P29745
b1128,P27431
b1129,P23837
b1130,P23836
b1131,P0AB89
b1132,P25746
b1133,P25745
b1134,P0AEI6
b1136,P08200
b1145,P75974
b1162,P75989
b1165,P75992
b1171,P0AB46
b1172,Q7DFV3
b1174,P0A734
b1175,P0AEZ3
b1176,P18196
b1177,P76001
b1178,P76002
b1179,P0AB43
b1180,P76004
b1182,P77335
b1185,P0A6M2
b1186,P0AFA7
b1187,P0A8V6
b1188,P29013
b1189,P0A6J5
b1190,P29012
b1191,P76007
b1192,P76008
b1193,P0C960
b1194,P76010
b1197,P13482
b1198,P37349
b1199,P76014
b1200,P76015
b1203,P0ABU2
b1204,P0A7D1
b1205,P0AB49
b1206,P0AFR2
b1207,P0A717
b1208,P62615
b1209,P61320
b1210,P0A6X1
b1211,P0A7I0
b1212,P0ACC1
b1215,P0A715
b1216,P31801
b1217,P0AE63
b1219,P0AB52
b1221,P0AF28
b1224,P09152
b1225,P11349
b1226,P0AF26
b1227,P11350
b1232,P37051
b1233,P37052
b1234,P0AFR0
b1235,P0AEV1
b1236,P0AEP3
b1237,P0ACF8
b1238,P23331
b1241,P0A9Q7
b1243,P23843
b1244,P0AFH2
b1245,P0AFH6
b1246,P76027
b1247,P77737
b1248,P0A8L7
b1249,P0A6H8
b1250,P31069
b1251,P0AB55
b1252,P02929
b1253,P0A8Z0
b1254,P0A710
b1255,P21365
b1256,P0A915
b1257,P21363
b1258,P21362
b1259,P21361
b1260,P0A877
b1261,P0A879
b1262,P00909
b1263,P00904
b1264,P00895
b1266,P77766
b1267,P0AFR4
b1269,P37765
b1270,P0A9H5
b1271,P31808
b1272,P0AG14
b1273,P0AB61
b1274,P06612
b1275,P0A9F3
b1276,P25516
b1277,P0A7I7
b1279,P0ACV4
b1280,P0AB58
b1281,P08244
b1282,P08245
b1283,P0ADA7
b1284,P76034
b1285,P77334
b1286,P30850
b1287,P76035
b1288,P0AEK4
b1290,P0AAH8
b1291,P0AAH4
b1294,Q47622
b1295,P0ACV8
b1297,P78061
b1298,P76038
b1299,P0A9U6
b1300,P23883
b1301,P37906
b1302,P50457
b1303,P37344
b1304,P0AFM6
b1305,P0AFM9
b1308,P23857
b1320,P77615
b1321,P76046
b1322,P0A8R7
b1323,P07604
b1324,P0A862
b1325,P51981
b1326,P0ACV6
b1327,P76049
b1329,P77348
b1330,P0AEB5
b1333,P0AAC0
b1334,P0A9E5
b1335,P0AFH0
b1340,P76053
b1341,P77302
b1342,P64423
b1343,P21693
b1344,P76055
b1356,P76062
b1375,P76073
b1376,P37903
b1378,P52647
b1379,P52644
b1380,P52643
b1381,P52645
b1382,P64448
b1383,P76076
b1384,Q47129
b1385,P80668
b1387,P77455
b1388,P76077
b1389,P76078
b1390,P76079
b1392,P76081
b1397,P0C7L2
b1398,P76085
b1399,P76086
b1400,P77181
b1406,P25906
b1412,P41407
b1413,P43329
b1414,P34209
b1415,P25553
b1421,P05704
b1422,P77171
b1423,P76097
b1424,P40120
b1426,P0ACW6
b1427,P13857
b1428,P76100
b1430,P25397
b1431,P64451
b1434,P77626
b1435,P76104
b1438,P67697
b1440,P76108
b1441,P77795
b1444,P77674
b1446,P64455
b1448,P76112
b1449,P76113
b1450,P76114
b1451,P76115
b1452,P76116
b1461,P31992
b1462,P76121
b1464,P37757
b1468,P19319
b1470,P76122
b1477,P67699
b1478,P39451
b1479,P26616
b1480,P68191
b1482,P0C0L2
b1487,P76128
b1490,P0AA89
b1492,P63235
b1493,P69910
b1494,P31828
b1495,P31827
b1498,P77318
b1501,P77561
b1502,P77588
b1507,P23874
b1511,P77432
b1512,P76141
b1513,P77257
b1516,P76142
b1517,P76143
b1518,P64461
b1519,P76145
b1521,P0A6L7
b1524,P0A6W0
b1525,P76149
b1535,P31129
b1536,P31130
b1537,P31131
b1538,P24171
b1539,P39831
b1540,P0ACM2
b1541,P64463
b1550,P77695
b1557,P36995
b1564,P0C079
b1566,P77609
b1567,P76164
b1570,P06966
b1580,P38105
b1581,P38104
b1583,P76170
b1584,P0A951
b1586,P76172
b1588,P77783
b1591,P69853
b1593,P0A6E9
b1594,P50456
b1595,P77559
b1597,P36560
b1598,P76176
b1602,P0AB67
b1603,P07001
b1604,P76177
b1606,P0AFS3
b1608,P52108
b1609,P18392
b1610,P16525
b1611,P05042
b1612,P0AC33
b1613,P00946
b1614,P77804
b1615,Q47706
b1617,P05804
b1618,P0ACT6
b1619,P0AET8
b1621,P19642
b1622,P23256
b1623,P22333
b1624,P77376
b1625,P64467
b1628,P77223
b1629,P77611
b1631,P77285
b1633,P0AB83
b1634,P77304
b1635,P0A9D2
b1636,P77150
b1637,P0AGJ9
b1638,P0AFI7
b1640,P77570
b1641,P0A905
b1642,P0A8W2
b1646,P0AGD1
b1647,P76187
b1649,P67430
b1650,P77258
b1651,P0AC81
b1652,P30014
b1654,P0AC69
b1655,P76190
b1656,P0AGD3
b1658,P0ACP7
b1661,P0A9H7
b1662,P0AFU8
b1663,P37340
b1664,P77552
b1667,P0ACX3
b1668,P77148
b1675,P0ACX5
b1676,P0AD61
b1677,P69776
b1678,P76193
b1679,P76194
b1680,P77444
b1681,P77689
b1682,P77499
b1683,P77522
b1684,P77667
b1685,P64476
b1686,P77781
b1687,P77748
b1688,P0AFS7
b1691,P76198
b1693,P05194
b1702,P23538
b1703,P0A8A4
b1704,P00887
b1705,P0ACX9
b1706,P77649
b1709,P06611
b1710,P06610
b1712,P0A6X7
b1713,P07395
b1714,P08312
b1716,P0A7L3
b1717,P0A7Q1
b1718,P0A707
b1719,P0A8M3
b1722,P76206
b1723,P06999
b1724,P64479
b1725,P77739
b1726,P76208
b1727,P77247
b1729,P77529
b1731,P0AE60
b1732,P21179
b1733,P37794
b1736,P69791
b1738,P69795
b1739,P0ADB1
b1740,P18843
b1743,P77754
b1744,P76215
b1745,P76216
b1746,P76217
b1747,P0AE37
b1748,P77581
b1749,P09030
b1751,P76220
b1754,P76223
b1757,P78067
b1759,P77788
b1760,P76227
b1761,P00370
b1763,P14294
b1764,P16456
b1765,P0ACY1
b1766,P08395
b1767,P0A962
b1768,P21369
b1770,P77721
b1777,P76231
b1778,P0A746
b1779,P0A9B2
b1780,P39173
b1781,P76234
b1782,P0A908
b1783,P0ACY3
